Id,Label,size
Ruminococcus_sp._5_1_39BFAA,Ruminococcus_sp._5_1_39BFAA,28196.86118
Veillonella_dispar,Veillonella_dispar,47000.18083
Bacteroides_sp._CAG98,Bacteroides_sp._CAG98,45624.28537
Eubacterium_sp._CAG251,Eubacterium_sp._CAG251,47507.08333
Firmicutes_bacterium_CAG110,Firmicutes_bacterium_CAG110,52392.85375
Clostridium_innocuum,Clostridium_innocuum,52171.24532
Butyricicoccus_pullicaecorum,Butyricicoccus_pullicaecorum,25635.75885
Alistipes_indistinctus,Alistipes_indistinctus,41989.72893
Prevotella_stercorea_CAG629,Prevotella_stercorea_CAG629,21120.80498
Citrobacter_freundii,Citrobacter_freundii,76605.33486
Bifidobacterium_catenulatum,Bifidobacterium_catenulatum,52530.01149
unclassified_g__Klebsiella,unclassified_g__Klebsiella,51347.37475
Bacteroides_caccae_CAG21,Bacteroides_caccae_CAG21,55331.57706
Salmonella_enterica,Salmonella_enterica,58623.21168
Parabacteroides_merdae_CAG48,Parabacteroides_merdae_CAG48,51855.21818
Klebsiella_oxytoca,Klebsiella_oxytoca,68037.16541
Paraprevotella_clara,Paraprevotella_clara,42861.91578
Lachnospira_pectinoschiza,Lachnospira_pectinoschiza,25608.81123
Blautia_sp._CAG257,Blautia_sp._CAG257,54955.94237
unclassified_g__Citrobacter,unclassified_g__Citrobacter,73089.85723
Rothia_mucilaginosa,Rothia_mucilaginosa,63459.35256
Prevotella_sp._CAG255,Prevotella_sp._CAG255,8845.159638
unclassified_g__Enterobacter,unclassified_g__Enterobacter,34192.55434
Prevotella_sp._CAG520,Prevotella_sp._CAG520,20412.40691
unclassified_g__Veillonella,unclassified_g__Veillonella,33428.08484
Intestinimonas_sp._GD2,Intestinimonas_sp._GD2,37612.12693
Eubacterium_sp._CAG76,Eubacterium_sp._CAG76,23047.04169
Parabacteroides_sp._HGS0025,Parabacteroides_sp._HGS0025,50461.70611
Megamonas_funiformis_CAG377,Megamonas_funiformis_CAG377,35492.78959
Candidatus_Bacteroides_timonensis,Candidatus_Bacteroides_timonensis,35005.89279
Megamonas_hypermegale,Megamonas_hypermegale,34633.67145
unclassified_g__Prevotella,unclassified_g__Prevotella,35763.68923
Bacteroides_intestinalis_CAG315,Bacteroides_intestinalis_CAG315,27322.82056
Bacteroides_salanitronis,Bacteroides_salanitronis,20385.85112
Ruminococcus_gnavus_CAG126,Ruminococcus_gnavus_CAG126,35108.49614
Clostridiaceae_bacterium_MS3,Clostridiaceae_bacterium_MS3,39679.20571
Citrobacter_sp._FDAARGOS_156,Citrobacter_sp._FDAARGOS_156,51980.96795
Prevotella_buccae,Prevotella_buccae,34978.02765
Firmicutes_bacterium_CAG341,Firmicutes_bacterium_CAG341,34116.30628
Clostridium_sp._CAG226,Clostridium_sp._CAG226,32523.76602
Sutterella_sp._CAG397,Sutterella_sp._CAG397,22292.19615
Sinorhizobium_sp._GL28,Sinorhizobium_sp._GL28,7876.307932
Firmicutes_bacterium_CAG227,Firmicutes_bacterium_CAG227,25729.6204
Veillonella_atypica,Veillonella_atypica,8895.346081
Anaerostipes_caccae,Anaerostipes_caccae,13835.1158
Bacteroides_faecis_CAG32,Bacteroides_faecis_CAG32,29922.85825
Clostridium_hathewayi_CAG224,Clostridium_hathewayi_CAG224,26808.54646
Sutterellaceae_bacterium_ND3,Sutterellaceae_bacterium_ND3,15944.97197
Citrobacter_sp._MGH100,Citrobacter_sp._MGH100,34615.33327
Firmicutes_bacterium_CAG321,Firmicutes_bacterium_CAG321,11399.20045
Lachnospiraceae_bacterium_TF01.11,Lachnospiraceae_bacterium_TF01.11,6877.110452
Clostridium_sp._CAG302,Clostridium_sp._CAG302,25130.70085
Anaerotruncus_sp._CAG528,Anaerotruncus_sp._CAG528,6969.476105
Citrobacter_pasteurii,Citrobacter_pasteurii,28895.0146
Bacteroides_coprophilus_CAG333,Bacteroides_coprophilus_CAG333,5500.097944
Alistipes_inops,Alistipes_inops,7267.862933
Ruminococcus_sp._CAG488,Ruminococcus_sp._CAG488,18178.54414
Bacteroides_sp._CAG462,Bacteroides_sp._CAG462,5243.113652
