Id,Label,size
Parabacteroides_distasonis,Parabacteroides_distasonis,358358.1016
Roseburia_inulinivorans,Roseburia_inulinivorans,599782.7307
Blautia_wexlerae,Blautia_wexlerae,521453.2383
Bifidobacterium_breve,Bifidobacterium_breve,351524.4012
Alistipes_shahii,Alistipes_shahii,333162.7208
Bifidobacterium_adolescentis,Bifidobacterium_adolescentis,468681.062
Blautia_obeum,Blautia_obeum,456857.8612
Flavonifractor_plautii,Flavonifractor_plautii,274872.6355
Bacteroides_xylanisolvens,Bacteroides_xylanisolvens,295604.6221
Faecalibacterium_sp._CAG82,Faecalibacterium_sp._CAG82,401666.7599
Fusicatenibacter_saccharivorans,Fusicatenibacter_saccharivorans,370157.2256
Akkermansia_muciniphila,Akkermansia_muciniphila,294269.3967
unclassified_g__Parabacteroides,unclassified_g__Parabacteroides,229856.7764
Klebsiella_pneumoniae,Klebsiella_pneumoniae,257958.7452
unclassified_g__Bifidobacterium,unclassified_g__Bifidobacterium,255599.7416
Ruminococcus_bromii,Ruminococcus_bromii,383599.3015
Bacteroides_massiliensis,Bacteroides_massiliensis,265240.6846
Firmicutes_bacterium_CAG103,Firmicutes_bacterium_CAG103,288045.9278
Alistipes_sp._CAG29,Alistipes_sp._CAG29,232890.1952
Dorea_longicatena,Dorea_longicatena,328498.1383
Akkermansia_sp._CAG344,Akkermansia_sp._CAG344,211836.1604
unclassified_p__Proteobacteria,unclassified_p__Proteobacteria,153645.5298
Ruminococcus_sp._CAG108,Ruminococcus_sp._CAG108,311691.6747
Subdoligranulum_sp._4_3_54A2FAA,Subdoligranulum_sp._4_3_54A2FAA,138341.1329
Dialister_invisus,Dialister_invisus,214670.7102
Alistipes_putredinis_CAG67,Alistipes_putredinis_CAG67,226410.3199
Faecalibacterium_sp._CAG74,Faecalibacterium_sp._CAG74,159663.3922
Tyzzerella_nexilis,Tyzzerella_nexilis,198251.5766
Bacteroides_intestinalis,Bacteroides_intestinalis,196715.419
Akkermansia_muciniphila_CAG154,Akkermansia_muciniphila_CAG154,195801.9318
Roseburia_intestinalis,Roseburia_intestinalis,270360.4454
Megamonas_funiformis,Megamonas_funiformis,152102.6559
Bacteroides_finegoldii,Bacteroides_finegoldii,164037.3004
Chlamydia_trachomatis,Chlamydia_trachomatis,300288.5008
Bacteroides_cellulosilyticus,Bacteroides_cellulosilyticus,164647.3621
Ruminococcus_bicirculans,Ruminococcus_bicirculans,192559.3613
Coprococcus_comes,Coprococcus_comes,249610.3538
Clostridium_sp._ATCC_BAA.442,Clostridium_sp._ATCC_BAA.442,144322.1362
unclassified_g__Alistipes,unclassified_g__Alistipes,164763.8263
Firmicutes_bacterium_CAG124,Firmicutes_bacterium_CAG124,131251.0611
Clostridium_clostridioforme,Clostridium_clostridioforme,146456.3053
Bifidobacterium_bifidum,Bifidobacterium_bifidum,222274.9579
Anaerostipes_hadrus,Anaerostipes_hadrus,228400.7848
Clostridium_bolteae,Clostridium_bolteae,122948.2249
Bacteroides_eggerthii,Bacteroides_eggerthii,158684.3386
Firmicutes_bacterium_CAG83,Firmicutes_bacterium_CAG83,140689.4624
unclassified_g__Oscillibacter,unclassified_g__Oscillibacter,137093.9543
Bacteroides_coprocola_CAG162,Bacteroides_coprocola_CAG162,227325.923
Alistipes_sp._CAG53,Alistipes_sp._CAG53,136913.9365
Peptoclostridium_difficile,Peptoclostridium_difficile,160897.3843
Bacteroides_sp._3_1_13,Bacteroides_sp._3_1_13,138293.2974
